"A circuit-centric approach to electronic system-level diagnostics and prognostics","Sai Sarathi Vasan, A.; Chen, C.; Pecht, M.","Dept. of Mech. Eng., Univ. of Maryland, College Park, MD, USA","Prognostics and Health Management (PHM), 2013 IEEE Conference on","24-27 June 2013","2013","","","1","8","Electronic system failures during field operation in mission, safety and infrastructure critical applications can have severe implications. In these applications, incorporating prognostics and health management (PHM) techniques provide systems with capabilities to self assess performance, determine the advent of failure and mitigate system risks. However, the prognostics problem for electronic systems is still approached from a component-centric-view. Extending a component-centric approach to an electronic system becomes complex and is often not worth the cost of pursuit due to the imbalance between scalability and efficiency of the prognostics approach. In order to address this problem, we propose a circuit-centric approach as an alternative method for realizing prognostics at an electronic system-level. The proposed approach is developed from the idea of decomposing a system into multiple critical circuits, and exploiting the parameters specific to the system's circuitries for predicting failure. Furthermore, a method is developed for detecting the gradual degradation of an electronic system by defining a health indicator to represent the system's health state at any given time. In this paper, we provide a formulation of the electronic system-level prognostics problem and demonstrate the approach on an electronic system for filtering analog signals.","","978-1-4673-5722-7","","10.1109/ICPHM.2013.6621432","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6621432","circuit failure prediction;circuit-centric apporach;electronic system prognostics","Band-pass filters;Circuit faults;Degradation;Feature extraction;Predictive models;Prognostics and health management;Testing","analogue circuits;failure analysis;network analysis;signal processing","analog signal filtering;circuit-centric approach;component-centric approach;electronic system- level prognostics;electronic system-level diagnostics;failure;health indicator;health state;multiple critical circuits","","","","0","","","","","20131007","","IEEE","","IEEE Conference Publications"
"Analyzing dependability measures at the Electronic System Level","Michael, M.; Grobe, D.; Drechsler, R.","Inst. of Comput. Sci., Univ. of Bremen, Bremen, Germany","Specification and Design Languages (FDL), 2011 Forum on","13-15 Sept. 2011","2011","","","1","8","Raising the level of abstraction to design the next generation of embedded systems has become mandatory. This design methodology is commonly referred to Electronic System Level (ESL) design. Simultaneously, dependability of embedded systems becomes a major concern. To satisfy these demands already at ESL, we present a dependability analysis approach working directly at this level. The approach analyzes the effectiveness of dependability measures in SystemC-based virtual prototypes. Errors are injected into SystemC transactions using an XML-based configuration mechanism. This is combined with the specification of the expected behavior with respect to the injected errors. The developed analysis approach allows for validation of dependability measures as well as localization of missing or buggy measures. Experimental results for a complex image processing system, which determines the position of a game controller in video data, demonstrate the advantages of our approach.","1636-9874","978-1-4577-0763-6","978-2-9530504-3-1","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069490","","Embedded systems;Libraries;Measurement uncertainty;Sockets;Time domain analysis;Time varying systems","C++ language;XML;embedded systems;high level synthesis","SystemC-based virtual prototype;XML-based configuration mechanism;dependability measure analysis approach;electronic system level design;embedded system design;game controller position;image processing system;video data","","","","1","","26","","","20111103","","IEEE","","IEEE Conference Publications"
"TLM protocol compliance checking at the Electronic System Level","Bawadekji, M.; Grosse, D.; Drechsler, R.","Inst. of Comput. Sci., Univ. of Bremen, Bremen, Germany","Design and Diagnostics of Electronic Circuits & Systems (DDECS), 2011 IEEE 14th International Symposium on","13-15 April 2011","2011","","","435","440","Design and verification of embedded systems at the Electronic System Level (ESL) is common practice. In particular, Transaction Level Modeling (TLM) is the major reason for the success of ESL design. However, when detailed protocols are modeled at lower levels of TLM, the verification of the communication becomes a critical issue. In this paper, we present an approach for protocol compliance checking of new or detailed protocol implementations. They are checked against user-specified protocol sequences. We also analyze the protocol coverage achieved by the testbench and visualize the results on a protocol sequence graph. Experimental results for a SoC model demonstrate the advantages of our method.","","978-1-4244-9755-3","","10.1109/DDECS.2011.5783132","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5783132","","Analytical models;Computational modeling;Protocols;Radiation detectors;System-on-a-chip;Time domain analysis;Time varying systems","electronic design automation;formal verification;integrated circuit design;integrated circuit modelling;protocols;system-on-chip","ESL design;SoC model;TLM protocol compliance checking;detailed protocol implementations;electronic system level;embedded systems;protocol coverage;protocol sequence graph;protocols;testbench;transaction level modeling;user-specified protocol sequences;verification","","","","0","","17","","","20110531","","IEEE","","IEEE Conference Publications"
"Advances in Parallel Discrete Event Simulation for Electronic System-Level Design","Weiwei Chen; Xu Han; Che-Wei Chang; Domer, R.","Center for Embedded Comput. Syst., Univ. of California, Irvine, Irvine, CA, USA","Design & Test, IEEE","Feb. 2013","2013","30","1","45","54","Editors' notes: The authors target the speeding up of parallel discrete event simulations in transaction-level models.","2168-2356","","","10.1109/MDT.2012.2226015","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6338368","","Benchmark testing;Decoding;Message systems;Parallel processing;Streaming media;Synchronization;System-level design","discrete event simulation;high level synthesis;parallel processing","electronic system-level design;parallel discrete event simulation;transaction-level models","","","","0","","12","","2013-03-07","20130605","","IEEE","IEEE Circuits and Systems Society;IEEE Council on Electronic Design and Automation;IEEE Solid State Circuits Society;IEEE Test Technology Technical Council","IEEE Journals & Magazines"
"Unified and comprehensive electronic system level, network and physics simulation for wirelessly networked cyber physical systems","Moreno, J.; Damm, M.; Haase, J.; Grimm, C.; Holleis, E.","Inst. of Comput. Technol., Vienna Univ. of Technol., Vienna, Austria","Specification and Design Languages (FDL), 2012 Forum on","18-20 Sept. 2012","2012","","","68","74","This paper presents a complete and comprehensive simulation of a Wireless Sensor Network (WSN), including an Electronic System Level (ESL) model of the nodes, a detailed network and radio propagation model and a model of the sensors interaction with the environment, based exclusively in SystemC and its extensions for Transaction Level Modeling (TLM) and Analog Mixed-Signal (AMS) design, with no need of co-simulation. The simulator has been validated by using it to design a Cyber-Physical System (CPS) consisting of an energy management network and its application for controlling energy demand, in order to balance it and adjust it to the energy supply available from renewable energy sources.","1636-9874","978-1-4673-1240-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336987","","Adaptation models;Computational modeling;Hardware;Home appliances;Sensors;Software;Wireless sensor networks","energy management systems;hardware description languages;integrated circuit design;mixed analogue-digital integrated circuits;radiowave propagation;renewable energy sources;wireless sensor networks","AMS design;ESL model;SystemC;TLM;WSN;analog mixed-signal design;energy demand control;energy management network;energy supply;network simulation;physics simulation;radio propagation model;renewable energy sources;transaction level modeling;unified electronic system level simulation;wireless sensor networks;wirelessly networked Cyber physical systems","","","","0","","","","","20121025","","IEEE","","IEEE Conference Publications"
"An open electronic system level multi-SPARC virtual platform and its toolchain","Pin-Hao Fang; Yu-Lin Wang; Zhong-Ho Chen; Su, A.W.Y.; Ce-Kuen Shieh","Dept. of CSIE, Nat. Cheng-Kung Univ., Tainan, Taiwan","Computer Symposium (ICS), 2010 International","16-18 Dec. 2010","2010","","","478","482","We present a multi-core virtual platform which follows single-core architecture, SPARC v8, available as an open source development suite. The proposed multi-SPARC system operates at electronic system level to accelerate its simulation speed. TLM channels are devised to connect the processors. To simplify the use of the proposed virtual platform, we define some specific APIs for data transaction and developers can simply follow the pre-defined protocol and complete the data transaction. We also implement the TLM interface for external modules to communicate with the host virtual platform. Furthermore, the proposed virtual platform is capable of running multiple applications with dynamic loading of application programs in run time. That means the multiple applications could execute sequentially without pre-loading all programs when initialized. The virtual platform with 4 SPARC cores can execute up to 1605.88K cycles per second on a 2.4 GHz Core 2 Duo machine. Moreover, the developers do not take too much effort to get used to our virtual platform, since its architecture follows the traditional one, and they could concentrate on architecture implementation as well.","","978-1-4244-7639-8","","10.1109/COMPSYM.2010.5685464","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5685464","electronic system level and transaction level modeling;multi-core;virtual platform","Biological system modeling;Computational modeling;Data models;Loading;Multicore processing;Program processors","application program interfaces;computer architecture;embedded systems;multi-threading;multiprocessing systems;protocols;public domain software;virtual reality","APIs;Core 2 Duo machine;SPARC v8;TLM channels;TLM interface;application programs;data transaction;dynamic loading;frequency 2.4 GHz;multiSPARC virtual platform;open electronic system level;open source development suite;pre-defined protocol;single-core architecture;toolchain","","","","0","","11","","","20110110","","IEEE","","IEEE Conference Publications"
"An IEEE 754 floating point engine designed with an electronic system level methodlogy","Chouliaras, V.A.; Nunez-Yanez, J.L.","Loughborough Univ., Loughborough","Norchip, 2007","19-20 Nov. 2007","2007","","","1","4","This paper presents the design and implementation of an IEEE 754-compliant, single-precision, coarse-level pipelined floating point engine designed using a new Electronic System Level tool. The starting point was the Softfloat ANSI-C implementation of the standard. Minimal modifications, in the form of two parallel processes, were introduced to map the ANSI-C code to the Input/Output interface of a cardbus-based field-programmable gate array prototyping board. The remaining part of the code was directly synthesized to gates using Cebatech's C2R compiler and a number of configurations were studied with various degrees of functional-unit sharing and capabilities. Preliminary results clearly identify the potential of next generation ESL tools in transforming control-oriented applications written in ANSI-C code directly to synthesizable verilog, in record time. At the same time, the generated silicon exhibits up to two orders of magnitude better cycle performance compared to the Softfloat standard executing on an in-order superscalar processor (simulated) thus making a strong statement for the suitability of the ESL tool for the silicon synthesis of control-dominated applications. The design was validated both at the C-level as well as on an E14 PicoComputing FPGA board were it achieved an operating frequency of 64 MHz.","","978-1-4244-1516-8","978-1-4244-1517-5","10.1109/NORCHP.2007.4481066","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4481066","","ANSI standards;Design methodology;Engines;Field programmable gate arrays;Frequency;Hardware;Microarchitecture;Prototypes;Silicon;Very large scale integration","ANSI standards;IEEE standards;field programmable gate arrays;floating point arithmetic;system buses","ANSI-C code;Cebatech C2R compiler;E14 PicoComputing FPGA board;IEEE 754 floating point engine;IEEE 754-compliant pipelined floating point engine;Softfloat ANSI-C implementation;Softfloat standard;cardbus;coarse-level pipelined floating point engine;control-dominated applications;electronic system level tool;field-programmable gate array prototyping board;functional-unit sharing;input/output interface;parallel processes;silicon synthesis;single-precision pipelined floating point engine;superscalar processor","","","","0","","17","","","20080404","","IEEE","","IEEE Conference Publications"
"Challenges of multi- and many-core architectures for electronic system-level design","Gruttner, K.; Hartmann, P.A.; Reinkemeier, P.; Oppenheimer, F.; Nebel, W.","OFFIS - Inst. for Inf. Technol., Oldenburg, Germany","Embedded Computer Systems (SAMOS), 2011 International Conference on","18-21 July 2011","2011","","","331","338","In today's design of embedded systems the software part is increasingly important. Over the last years we have observed a shift from hardware to software added value. With the rise of multi- and many-core platforms even more complex software systems can be implemented. To efficiently map software applications to such architectures, the impact of platform decisions with respect to the hardware and the software infrastructure (OS, scheduling policies, priorities, mapping) has to be explored in early design phases. In this work, we discuss the challenges of the multi- and many-core design-space. We give an overview of our existing SystemC™-based OSSS design flow including software multitasking in system-level models. We propose extensions towards multi- and many-core platform models and discuss which aspects of the system behaviour can be captured. Since this is work in progress we end up with challenges which have not been solved until now and propose new concepts to overcome the current limitations.","","978-1-4577-0802-2","978-1-4577-0801-5","10.1109/SAMOS.2011.6045481","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6045481","","Computer architecture;Hardware;Operating systems;Program processors;Runtime;Synchronization","electronic design automation;embedded systems;multiprocessing systems;multiprogramming","SystemC-based OSSS design flow;complex software systems;electronic system-level design;embedded systems;many-core architectures;many-core design-space;multicore architectures;multicore design-space;software multitasking;system behaviour;system-level models","","","","0","","23","","","20111017","","IEEE","","IEEE Conference Publications"
"Cone of Influence Analysis at the Electronic System Level Using Machine Learning","Stoppe, J.; Wille, R.; Drechsler, R.","Cyber-Phys. Syst., DFKI GmbH, Bremen, Germany","Digital System Design (DSD), 2013 Euromicro Conference on","4-6 Sept. 2013","2013","","","582","587","Cone of influence analysis, i.e. determining the parts of the circuit which are relevant to a considered circuit signal, is an established methodology applied in several design tasks. In abstractions like the Register Transfer Level (RTL) or the gate level, cone of influence analysis is simple. However, the introduction of higher levels of abstractions, particularly the Electronic System Level (ESL), made it significantly harder to reliably extract a cone of influence. In this paper, we propose a methodology that enables cone of influence analysis at the ESL. Instead of a structural analysis, a behavioral scheme is proposed, i.e. stimuli representing different system executions are analyzed. To this end, machine learning techniques are exploited. This enables a very good approximation of the desired cone of influence which is non-invasive, does not rely on the availability of the source code, and performs fast. Case studies confirm the applicability of the proposed approach.","","","","10.1109/DSD.2013.69","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6628330","Cone of Influence;ESL;Machine Learning;SystemC","Approximation methods;Availability;Decision trees;Entropy;Libraries;Logic gates;Machine learning algorithms","electronic engineering computing;learning (artificial intelligence);logic gates","ESL;RTL;behavioral scheme;circuit signal;cone-of-influence analysis;design tasks;electronic system level;gate level;machine learning;noninvasive cone-of-influence approximation;register transfer level;source code;system executions","","","","0","","","","","20131015","","IEEE","","IEEE Conference Publications"
"Design space exploration and performance evaluation at Electronic System Level for NoC-based MPSoC","Sonntag, S.; Gilabert, F.","Design Platforms & Services, Lantiq Deutschland GmbH, Munich-Neubiberg, Germany","Computer-Aided Design (ICCAD), 2010 IEEE/ACM International Conference on","7-11 Nov. 2010","2010","","","336","339","System-on-Chip (SoC) has become a common design technique in the integrated circuits industry as it offers many advantages in terms of cost and performance efficiency. SoCs are increasingly complex and heterogeneous systems that are highly integrated comprising processors, caches, hardware accelerators, memories, peripherals and interconnects. Modern SoCs deploy not only simple buses but also crossbars and Networks-on-Chip (NoC) to connect dozens or even hundreds of modules. However, it is difficult to evaluate the performance of these interconnects because of their complexity. This is a potential design risk. In order to address this challenge, early design space exploration is required to find appropriate system architectures out of many candidate architectures. An appropriate interconnect architecture is a fundamental outcome of these evaluations since its latency and throughput characteristics affect the performance of all attached modules in the SoC. In this paper we show how to perform early design space exploration using our Electronic System Level (ESL) performance evaluation framework SystemQ. We use a heterogeneous MultiProcessor SoC that features a complex NoC as a central interconnect. Based on this example we show the importance of proper abstraction in order to keep simulation efforts manageable.","1092-3152","978-1-4244-8193-4","","10.1109/ICCAD.2010.5654090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5654090","","Accuracy;Performance evaluation;Program processors;Space exploration;System-on-a-chip;Throughput;Topology","integrated circuit design;multiprocessing systems;network-on-chip","MPSoC;design space exploration;electronic system level;networks-on-chip;performance evaluation;system-on-chip","","","","1","","9","","","20101203","","IEEE","","IEEE Conference Publications"
